movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes,Unnamed: 0,genre_ids,id_x,original_language,original_title,popularity,release_date_x,title,vote_average,vote_count,id_y,release_date_y,movie,production_budget,domestic_gross,worldwide_gross
tt2379653,3,2012,115.0,"Comedy,Drama",6.1,101,25581,"[27, 9648, 53]",477577,en,3,1.816,2018-08-07,3,6.0,2,85,"Sep 16, 2011",3,"$7,200,000","$59,774","$295,492"
tt2379713,Spectre,2015,148.0,"Action,Adventure,Thriller",6.8,352504,14175,"[28, 12, 80]",206647,en,Spectre,30.318,2015-11-06,Spectre,6.4,6719,10,"Nov 6, 2015",Spectre,"$300,000,000","$200,074,175","$879,620,923"
tt2379713,Spectre,2015,148.0,"Action,Adventure,Thriller",6.8,352504,17386,"[28, 12, 80]",206647,en,Spectre,30.318,2015-11-06,Spectre,6.4,6719,10,"Nov 6, 2015",Spectre,"$300,000,000","$200,074,175","$879,620,923"
tt2380301,Treachery,2013,67.0,"Drama,Thriller",3.7,391,8996,[18],138976,en,Treachery,1.874,2013-12-04,Treachery,4.8,5,5,"Dec 31, 2013",Treachery,"$625,000",$0,$0
tt2380307,Coco,2017,105.0,"Adventure,Animation,Comedy",8.4,277194,20635,"[16, 10751, 35, 12, 14]",354912,en,Coco,25.961,2017-11-22,Coco,8.2,8669,2,"Nov 22, 2017",Coco,"$175,000,000","$209,726,015","$798,008,101"
tt2380307,Coco,2017,105.0,"Adventure,Animation,Comedy",8.4,277194,23859,"[16, 10751, 35, 12, 14]",354912,en,Coco,25.961,2017-11-22,Coco,8.2,8669,2,"Nov 22, 2017",Coco,"$175,000,000","$209,726,015","$798,008,101"
tt2381111,Brooklyn,2015,117.0,"Drama,Romance",7.5,117021,14276,"[18, 10749]",167073,en,Brooklyn,12.083,2015-11-04,Brooklyn,7.3,1912,79,"Nov 4, 2015",Brooklyn,"$11,000,000","$38,322,743","$62,076,141"
tt2381111,Brooklyn,2015,117.0,"Drama,Romance",7.5,117021,22572,"[18, 10402]",291678,fr,Brooklyn,0.916,2017-08-05,Brooklyn,6.0,1,79,"Nov 4, 2015",Brooklyn,"$11,000,000","$38,322,743","$62,076,141"
tt2381941,Focus,2015,105.0,"Comedy,Crime,Drama",6.6,192147,14299,"[10749, 35, 80, 18]",256591,en,Focus,10.704,2015-02-27,Focus,6.8,4173,99,"Feb 27, 2015",Focus,"$65,000,000","$53,862,963","$168,065,700"
tt2382396,Joe,2013,117.0,"Crime,Drama",6.9,42825,11257,[18],157847,en,Joe,8.57,2014-04-11,Joe,6.6,514,30,"Apr 11, 2014",Joe,"$4,000,000","$373,375","$373,375"
tt2385003,Assassins,2014,84.0,"Action,Drama,Thriller",4.4,73,2606,"[28, 12, 80, 53]",9691,en,Assassins,10.579,1995-10-06,Assassins,6.2,666,63,"Oct 6, 1995",Assassins,"$50,000,000","$30,306,268","$83,306,268"
tt2385003,Assassins,2014,84.0,"Action,Drama,Thriller",4.4,73,20588,"[53, 28, 18]",400671,en,Assassins,0.6,2016-06-03,Assassins,1.0,1,63,"Oct 6, 1995",Assassins,"$50,000,000","$30,306,268","$83,306,268"
tt2386203,Captive,2013,88.0,"Action,Thriller",3.8,211,9176,[18],195051,en,Captive,1.472,2013-05-14,Captive,3.8,7,23,"Sep 18, 2015",Captive,"$2,000,000","$2,583,301","$2,791,973"
tt2386203,Captive,2013,88.0,"Action,Thriller",3.8,211,14611,"[80, 18, 53]",331190,en,Captive,6.474,2015-09-18,Captive,5.6,127,23,"Sep 18, 2015",Captive,"$2,000,000","$2,583,301","$2,791,973"
tt2386203,Captive,2013,88.0,"Action,Thriller",3.8,211,23783,[27],321768,en,Captive,0.6,2017-04-28,Captive,1.5,2,23,"Sep 18, 2015",Captive,"$2,000,000","$2,583,301","$2,791,973"
tt2387433,Dark Skies,2013,97.0,"Horror,Sci-Fi,Thriller",6.3,65754,7978,"[878, 53, 27]",145135,en,Dark Skies,11.582,2013-02-22,Dark Skies,6.1,1004,97,"Feb 22, 2013",Dark Skies,"$3,500,000","$17,418,667","$27,704,111"
tt2387559,Delivery Man,2013,105.0,"Comedy,Drama",6.4,70706,8118,[35],146239,en,Delivery Man,7.962,2013-11-22,Delivery Man,6.2,858,21,"Nov 22, 2013",Delivery Man,"$22,000,000","$30,659,817","$70,536,870"
tt2387589,The Girl on the Train,2013,80.0,Thriller,4.4,819,12316,[53],241261,en,The Girl on the Train,1.595,2014-07-03,The Girl on the Train,5.9,25,68,"Oct 7, 2016",The Girl on the Train,"$45,000,000","$75,395,035","$174,278,214"
tt2387589,The Girl on the Train,2013,80.0,Thriller,4.4,819,17506,"[80, 18, 9648, 10749, 53]",346685,en,The Girl on the Train,11.927,2016-10-07,The Girl on the Train,6.3,3479,68,"Oct 7, 2016",The Girl on the Train,"$45,000,000","$75,395,035","$174,278,214"
tt2387589,The Girl on the Train,2013,80.0,Thriller,4.4,819,20774,"[80, 18, 9648, 10749, 53]",346685,en,The Girl on the Train,11.927,2016-10-07,The Girl on the Train,6.3,3479,68,"Oct 7, 2016",The Girl on the Train,"$45,000,000","$75,395,035","$174,278,214"
tt2388050,Flipped,2015,90.0,"Drama,Thriller",6.0,440,145,"[10749, 18]",43949,en,Flipped,9.781,2010-08-06,Flipped,7.4,859,22,"Aug 6, 2010",Flipped,"$14,000,000","$1,755,212","$4,289,993"
tt2388050,Flipped,2015,90.0,"Drama,Thriller",6.0,440,15898,"[18, 53]",380018,en,Flipped,0.962,2015-12-15,Flipped,7.0,2,22,"Aug 6, 2010",Flipped,"$14,000,000","$1,755,212","$4,289,993"
tt2388621,1982,2013,90.0,Drama,7.0,221,10228,[18],215918,en,1982,0.6,2013-12-31,1982,7.5,2,23,"Mar 1, 2016",1982,"$1,000,000",$0,$0
tt2388637,Ain't Them Bodies Saints,2013,96.0,"Crime,Drama,Romance",6.4,19464,8105,"[80, 18, 10749, 37]",152748,en,Ain't Them Bodies Saints,8.166,2013-08-16,Ain't Them Bodies Saints,6.2,217,64,"Aug 16, 2013",Ain't Them Bodies Saints,"$5,000,000","$391,611","$1,075,009"
tt2388715,Oculus,2013,104.0,"Horror,Mystery",6.5,106906,11151,[27],157547,en,Oculus,10.841,2014-04-03,Oculus,6.4,1747,72,"Apr 11, 2014",Oculus,"$5,000,000","$27,695,246","$44,115,496"
tt2389182,Cheap Thrills,2013,88.0,"Comedy,Crime,Drama",6.7,16429,8274,"[35, 80, 18]",175291,en,Cheap Thrills,6.406,2013-03-08,Cheap Thrills,6.4,216,89,"Mar 21, 2014",Cheap Thrills,"$100,000","$59,424","$59,424"
tt2390281,Max,2012,83.0,Comedy,5.1,248,14462,"[12, 18, 10751]",272878,en,Max,7.766,2015-06-26,Max,6.8,407,36,"Jun 26, 2015",Max,"$20,000,000","$42,656,255","$43,658,157"
tt2390361,Enough Said,2013,93.0,"Comedy,Drama,Romance",7.0,55698,8081,"[35, 18, 10749]",209263,en,Enough Said,8.722,2013-09-18,Enough Said,6.7,464,88,"Sep 18, 2013",Enough Said,"$8,000,000","$17,550,872","$25,621,449"
tt2393825,Home,2013,112.0,Drama,7.0,140,3525,"[18, 9648]",79580,ru,Dom,1.823,2011-11-11,Home,5.4,11,44,"Mar 27, 2015",Home,"$130,000,000","$177,397,510","$385,997,896"
tt2393825,Home,2013,112.0,Drama,7.0,140,3525,"[18, 9648]",79580,ru,Dom,1.823,2011-11-11,Home,5.4,11,56,"Jun 5, 2009",Home,"$12,000,000",$0,$0
tt2393825,Home,2013,112.0,Drama,7.0,140,3525,"[18, 9648]",79580,ru,Dom,1.823,2011-11-11,Home,5.4,11,60,"Apr 23, 2009",Home,"$500,000","$15,433","$44,793,168"
tt2393825,Home,2013,112.0,Drama,7.0,140,9651,[],237303,en,Home,0.84,2013-11-22,Home,7.0,2,44,"Mar 27, 2015",Home,"$130,000,000","$177,397,510","$385,997,896"
tt2393825,Home,2013,112.0,Drama,7.0,140,9651,[],237303,en,Home,0.84,2013-11-22,Home,7.0,2,56,"Jun 5, 2009",Home,"$12,000,000",$0,$0
tt2393825,Home,2013,112.0,Drama,7.0,140,9651,[],237303,en,Home,0.84,2013-11-22,Home,7.0,2,60,"Apr 23, 2009",Home,"$500,000","$15,433","$44,793,168"
tt2393825,Home,2013,112.0,Drama,7.0,140,14262,"[14, 35, 16, 878, 10751]",228161,en,Home,12.835,2015-03-27,Home,6.8,2372,44,"Mar 27, 2015",Home,"$130,000,000","$177,397,510","$385,997,896"
tt2393825,Home,2013,112.0,Drama,7.0,140,14262,"[14, 35, 16, 878, 10751]",228161,en,Home,12.835,2015-03-27,Home,6.8,2372,56,"Jun 5, 2009",Home,"$12,000,000",$0,$0
tt2393825,Home,2013,112.0,Drama,7.0,140,14262,"[14, 35, 16, 878, 10751]",228161,en,Home,12.835,2015-03-27,Home,6.8,2372,60,"Apr 23, 2009",Home,"$500,000","$15,433","$44,793,168"
tt2393825,Home,2013,112.0,Drama,7.0,140,19580,[],409371,en,Home,0.672,2016-08-01,Home,7.0,1,44,"Mar 27, 2015",Home,"$130,000,000","$177,397,510","$385,997,896"
tt2393825,Home,2013,112.0,Drama,7.0,140,19580,[],409371,en,Home,0.672,2016-08-01,Home,7.0,1,56,"Jun 5, 2009",Home,"$12,000,000",$0,$0
tt2393825,Home,2013,112.0,Drama,7.0,140,19580,[],409371,en,Home,0.672,2016-08-01,Home,7.0,1,60,"Apr 23, 2009",Home,"$500,000","$15,433","$44,793,168"
tt2393825,Home,2013,112.0,Drama,7.0,140,20446,"[27, 18, 10751]",381507,en,Home,0.6,2016-03-01,Home,4.7,14,44,"Mar 27, 2015",Home,"$130,000,000","$177,397,510","$385,997,896"
tt2393825,Home,2013,112.0,Drama,7.0,140,20446,"[27, 18, 10751]",381507,en,Home,0.6,2016-03-01,Home,4.7,14,56,"Jun 5, 2009",Home,"$12,000,000",$0,$0
tt2393825,Home,2013,112.0,Drama,7.0,140,20446,"[27, 18, 10751]",381507,en,Home,0.6,2016-03-01,Home,4.7,14,60,"Apr 23, 2009",Home,"$500,000","$15,433","$44,793,168"
tt2393825,Home,2013,112.0,Drama,7.0,140,20455,[18],388223,en,Home,0.6,2016-03-17,Home,4.5,2,44,"Mar 27, 2015",Home,"$130,000,000","$177,397,510","$385,997,896"
tt2393825,Home,2013,112.0,Drama,7.0,140,20455,[18],388223,en,Home,0.6,2016-03-17,Home,4.5,2,56,"Jun 5, 2009",Home,"$12,000,000",$0,$0
tt2393825,Home,2013,112.0,Drama,7.0,140,20455,[18],388223,en,Home,0.6,2016-03-17,Home,4.5,2,60,"Apr 23, 2009",Home,"$500,000","$15,433","$44,793,168"
tt2393825,Home,2013,112.0,Drama,7.0,140,23694,[878],496256,en,Home,0.6,2017-04-30,Home,4.0,1,44,"Mar 27, 2015",Home,"$130,000,000","$177,397,510","$385,997,896"
tt2393825,Home,2013,112.0,Drama,7.0,140,23694,[878],496256,en,Home,0.6,2017-04-30,Home,4.0,1,56,"Jun 5, 2009",Home,"$12,000,000",$0,$0
tt2393825,Home,2013,112.0,Drama,7.0,140,23694,[878],496256,en,Home,0.6,2017-04-30,Home,4.0,1,60,"Apr 23, 2009",Home,"$500,000","$15,433","$44,793,168"
tt2395427,Avengers: Age of Ultron,2015,141.0,"Action,Adventure,Sci-Fi",7.3,665594,14169,"[28, 12, 878]",99861,en,Avengers: Age of Ultron,44.383,2015-05-01,Avengers: Age of Ultron,7.3,13457,4,"May 1, 2015",Avengers: Age of Ultron,"$330,600,000","$459,005,868","$1,403,013,963"
tt2398231,The Homesman,2014,122.0,"Drama,Western",6.6,27724,11286,"[37, 18]",264656,en,The Homesman,8.232,2014-08-29,The Homesman,6.5,389,70,"Nov 14, 2014",The Homesman,"$16,000,000","$2,429,989","$8,217,571"
tt2398241,Smurfs: The Lost Village,2017,90.0,"Adventure,Animation,Comedy",6.0,15612,20699,"[12, 16, 35, 10751]",137116,en,Smurfs: The Lost Village,15.663,2017-04-07,Smurfs: The Lost Village,6.2,736,5,"Apr 7, 2017",Smurfs: The Lost Village,"$60,000,000","$45,020,282","$197,578,586"
tt2398249,They Came Together,2014,83.0,"Comedy,Romance",5.5,19832,11372,[35],180296,en,They Came Together,7.353,2014-06-27,They Came Together,5.5,226,58,"Jun 27, 2014",They Came Together,"$3,000,000",$0,"$82,780"
tt2400463,The Invitation,2015,100.0,"Drama,Horror,Mystery",6.7,70213,14305,[53],306947,en,The Invitation,10.424,2015-03-13,The Invitation,6.5,1063,74,"Apr 8, 2016",The Invitation,"$1,000,000","$231,738","$354,836"
tt2401878,Anomalisa,2015,90.0,"Animation,Comedy,Drama",7.3,58010,14309,"[16, 35, 18, 10749]",291270,en,Anomalisa,10.285,2015-12-30,Anomalisa,7.1,927,6,"Dec 30, 2015",Anomalisa,"$8,000,000","$3,759,286","$5,706,168"
tt2401878,Anomalisa,2015,90.0,"Animation,Comedy,Drama",7.3,58010,17556,"[16, 35, 18, 10749]",291270,en,Anomalisa,10.285,2015-12-30,Anomalisa,7.1,927,6,"Dec 30, 2015",Anomalisa,"$8,000,000","$3,759,286","$5,706,168"
tt2402105,Dom Hemingway,2013,93.0,"Comedy,Crime,Drama",6.2,24557,11384,"[35, 80, 18]",192134,en,Dom Hemingway,7.254,2014-04-03,Dom Hemingway,5.8,302,52,"Apr 2, 2014",Dom Hemingway,"$7,000,000","$523,511","$1,857,458"
tt2402157,The November Man,2014,108.0,"Action,Crime,Thriller",6.3,59293,11065,"[80, 28, 53]",254904,en,The November Man,17.747,2014-08-27,The November Man,6.1,852,61,"Aug 27, 2014",The November Man,"$15,000,000","$25,018,119","$34,820,335"
tt2402731,Unknown,2012,96.0,Drama,6.9,14,2565,"[28, 9648, 53]",48138,en,Unknown,12.08,2011-02-18,Unknown,6.6,2043,21,"Feb 18, 2011",Unknown,"$40,000,000","$63,686,397","$136,123,083"
