iter	Passed	Remaining
675	4605	2207
676	4611	2200
677	4618	2193
678	4624	2186
679	4629	2178
680	4634	2170
681	4638	2162
682	4643	2155
683	4647	2147
684	4652	2139
685	4659	2132
686	4663	2124
687	4670	2117
688	4676	2110
689	4680	2102
690	4686	2095
691	4693	2089
692	4698	2081
693	4704	2074
694	4711	2067
695	4719	2061
696	4726	2054
697	4732	2047
698	4736	2039
699	4748	2035
700	4757	2029
701	4766	2023
702	4774	2017
703	4782	2010
704	4795	2006
705	4804	2000
706	4811	1994
707	4887	2015
708	4899	2011
709	4914	2007
710	4928	2003
711	5038	2037
712	5052	2033
713	5061	2027
714	5069	2020
715	5074	2012
716	5079	2004
717	5085	1997
718	5112	1998
719	5127	1993
720	5145	1991
721	5152	1983
722	5160	1976
723	5165	1969
724	5171	1961
725	5177	1954
726	5184	1946
727	5191	1939
728	5196	1931
729	5201	1923
730	5209	1917
731	5216	1909
732	5224	1902
733	5231	1896
734	5239	1889
735	5245	1881
736	5250	1873
737	5258	1866
738	5265	1859
739	5272	1852
740	5279	1845
741	5283	1836
742	5290	1829
743	5297	1822
744	5302	1815
745	5311	1808
746	5317	1801
747	5322	1793
748	5329	1786
749	5336	1778
750	5341	1771
751	5346	1763
752	5353	1756
753	5359	1748
754	5367	1741
755	5371	1733
756	5377	1726
757	5384	1719
758	5390	1711
759	5395	1703
760	5402	1696
761	5409	1689
762	5415	1682
763	5422	1674
764	5427	1667
765	5434	1660
766	5442	1653
767	5448	1645
768	5458	1639
769	5465	1632
770	5469	1624
771	5474	1616
772	5482	1609
773	5489	1602
774	5495	1595
775	5503	1588
776	5508	1581
777	5514	1573
778	5520	1566
779	5529	1559
780	5539	1553
781	5546	1546
782	5554	1539
783	5561	1532
784	5566	1524
785	5575	1517
786	5582	1510
787	5589	1503
788	5594	1496
789	5601	1488
790	5607	1481
791	5613	1474
792	5619	1466
793	5625	1459
794	5633	1452
795	5640	1445
796	5645	1438
797	5651	1430
798	5659	1423
799	5667	1416
800	5680	1411
801	5685	1403
802	5692	1396
803	5698	1389
804	5706	1382
805	5715	1375
806	5721	1368
807	5728	1361
808	5737	1354
809	5742	1347
810	5750	1340
811	5755	1332
812	5761	1325
813	5769	1318
814	5778	1311
815	5784	1304
816	5788	1296
817	5794	1289
818	5801	1282
819	5807	1274
820	5813	1267
821	5823	1261
822	5828	1253
823	5834	1246
824	5841	1239
825	5847	1231
826	5854	1224
827	5862	1217
828	5868	1210
829	5873	1202
830	5880	1195
831	5886	1188
832	5890	1180
833	5897	1173
834	5904	1166
